uc_id,title,criticality,regulation,regulation_version,clause,clause_url,assurance,mode,source_path
22.11.100,PCI-DSS 10.4 — Time synchronisation: NTP drift on CDE hosts,high,ISO/IEC 27001,2022,A.8.17,https://www.iso.org/standard/27001,full,satisfies,content/cat-22-regulatory-compliance/UC-22.11.100.json
22.11.101,PCI-DSS 10.6 — Log review: daily-review evidence for CDE data sources,high,ISO/IEC 27001,2022,A.5.28,https://www.iso.org/standard/27001,partial,satisfies,content/cat-22-regulatory-compliance/UC-22.11.101.json
22.11.102,PCI-DSS 10.7 — Log retention: CDE data-source retention + immutability attestation,high,ISO/IEC 27001,2022,A.5.33,https://www.iso.org/standard/27001,full,satisfies,content/cat-22-regulatory-compliance/UC-22.11.102.json
22.11.103,PCI-DSS 11.3 — Vulnerability programme: overdue scan cadence and unremediated high-severity,high,ISO/IEC 27001,2022,A.8.8,https://www.iso.org/standard/27001,full,satisfies,content/cat-22-regulatory-compliance/UC-22.11.103.json
22.11.104,PCI-DSS 11.4 — Intrusion detection: IDS signature/health attestation + untuned alert monitoring,high,ISO/IEC 27001,2022,A.8.16,https://www.iso.org/standard/27001,full,satisfies,content/cat-22-regulatory-compliance/UC-22.11.104.json
22.11.105,PCI-DSS 12.10 — Incident response: IR readiness — playbook exercise evidence,high,ISO/IEC 27001,2022,A.5.24,https://www.iso.org/standard/27001,partial,satisfies,content/cat-22-regulatory-compliance/UC-22.11.105.json
22.11.106,PCI-DSS 12.3 — Targeted risk analysis: frequency adherence for per-requirement TRAs,medium,ISO/IEC 27001,2022,8.2,https://www.iso.org/standard/27001,partial,satisfies,content/cat-22-regulatory-compliance/UC-22.11.106.json
22.11.91,PCI-DSS 1.3 — CDE network boundary: unauthorised flows between CDE and untrusted networks,critical,ISO/IEC 27001,2022,A.8.22,https://www.iso.org/standard/27001,partial,satisfies,content/cat-22-regulatory-compliance/UC-22.11.91.json
22.11.92,PCI-DSS 2.2 — Secure configuration baseline: drift from approved hardening template,high,ISO/IEC 27001,2022,A.8.9,https://www.iso.org/standard/27001,full,satisfies,content/cat-22-regulatory-compliance/UC-22.11.92.json
22.11.93,PCI-DSS 3.3 — Sensitive authentication data: cleartext PAN/CVV detection in logs,critical,ISO/IEC 27001,2022,A.8.12,https://www.iso.org/standard/27001,full,satisfies,content/cat-22-regulatory-compliance/UC-22.11.93.json
22.11.94,PCI-DSS 5.2 — Anti-malware: EDR coverage + detection-queue attestation,high,ISO/IEC 27001,2022,A.8.7,https://www.iso.org/standard/27001,full,satisfies,content/cat-22-regulatory-compliance/UC-22.11.94.json
22.11.95,PCI-DSS 6.2 — Bespoke-software SDLC: code-review + SAST completion before CDE deploy,high,ISO/IEC 27001,2022,A.8.25,https://www.iso.org/standard/27001,full,satisfies,content/cat-22-regulatory-compliance/UC-22.11.95.json
22.11.96,PCI-DSS 8.3 — Strong authentication: password-only logins against privileged accounts,critical,ISO/IEC 27001,2022,A.8.5,https://www.iso.org/standard/27001,full,satisfies,content/cat-22-regulatory-compliance/UC-22.11.96.json
22.11.97,PCI-DSS 8.4 — MFA coverage: administrative access to CDE without MFA,critical,ISO/IEC 27001,2022,A.8.5,https://www.iso.org/standard/27001,full,satisfies,content/cat-22-regulatory-compliance/UC-22.11.97.json
22.11.98,PCI-DSS 8.6 — Application and system accounts: interactive use of a service account,high,ISO/IEC 27001,2022,A.5.16,https://www.iso.org/standard/27001,full,satisfies,content/cat-22-regulatory-compliance/UC-22.11.98.json
22.11.99,PCI-DSS 10.3 — Audit log integrity: tampering/deletion detection on CDE log source,critical,ISO/IEC 27001,2022,A.8.15,https://www.iso.org/standard/27001,full,satisfies,content/cat-22-regulatory-compliance/UC-22.11.99.json
22.12.36,SOX-ITGC AccessMgmt.Provisioning — Financial-system user provisioning SLA & workflow adherence,high,ISO/IEC 27001,2022,A.5.18,https://www.iso.org/standard/27001,full,satisfies,content/cat-22-regulatory-compliance/UC-22.12.36.json
22.12.37,SOX-ITGC AccessMgmt.Termination — Deprovisioning SLA after HR termination event,critical,ISO/IEC 27001,2022,A.5.18,https://www.iso.org/standard/27001,full,satisfies,content/cat-22-regulatory-compliance/UC-22.12.37.json
22.12.38,SOX-ITGC ChangeMgmt.Testing — Financial-system change test-evidence completeness,high,ISO/IEC 27001,2022,A.8.32,https://www.iso.org/standard/27001,full,satisfies,content/cat-22-regulatory-compliance/UC-22.12.38.json
22.12.39,SOX-ITGC ChangeMgmt.Approval — Segregation of duties in financial-system change approval,critical,ISO/IEC 27001,2022,A.5.3,https://www.iso.org/standard/27001,partial,satisfies,content/cat-22-regulatory-compliance/UC-22.12.39.json
22.12.40,SOX-ITGC Operations.JobSchedule — Batch-schedule monitoring: financial-job exception visibility,medium,ISO/IEC 27001,2022,A.8.30,https://www.iso.org/standard/27001,partial,satisfies,content/cat-22-regulatory-compliance/UC-22.12.40.json
22.3.41,DORA Art.6 — ICT risk-management framework evidence: control catalogue drift detection,high,ISO/IEC 27001,2022,A.5.1,https://www.iso.org/standard/27001,partial,satisfies,content/cat-22-regulatory-compliance/UC-22.3.41.json
22.3.42,DORA Art.7 — ICT systems inventory completeness: unmanaged endpoints attached to financial services,high,ISO/IEC 27001,2022,A.5.9,https://www.iso.org/standard/27001,full,satisfies,content/cat-22-regulatory-compliance/UC-22.3.42.json
22.3.43,DORA Art.8 — ICT risk identification: newly discovered high-severity exposure on critical financial services,critical,ISO/IEC 27001,2022,A.8.8,https://www.iso.org/standard/27001,full,satisfies,content/cat-22-regulatory-compliance/UC-22.3.43.json
22.3.44,DORA Art.17 — ICT incident classification timeliness: major-incident clock evidence,critical,ISO/IEC 27001,2022,A.5.24,https://www.iso.org/standard/27001,full,satisfies,content/cat-22-regulatory-compliance/UC-22.3.44.json
22.3.45,DORA Art.24 — Digital operational-resilience testing: test-plan execution attestation,high,ISO/IEC 27001,2022,A.5.29,https://www.iso.org/standard/27001,partial,satisfies,content/cat-22-regulatory-compliance/UC-22.3.45.json
22.40.2,Break-glass account usage review with mandatory post-use approval,critical,ISO 27001,2022,A.5.15,,full,satisfies,content/cat-22-regulatory-compliance/UC-22.40.2.json
22.40.3,Periodic access review SLA — stale certifications by control owner,high,ISO 27001,2022,A.5.18,,full,satisfies,content/cat-22-regulatory-compliance/UC-22.40.3.json
